Ticker,Shares
SHOP.TO,1006.1096657585985
QCOM,649.248341672522
PYPL,1077.3332464671162
CAT,208.75772379835314
AMZN,326.48892738728387
C,796.6292489160172
TXN,211.2012573544816
AXP,140.10444125776374
USB,665.608573876824
LLY,45.0777365802916
BAC,726.9421042033464
BB.TO,12969.091881182692
Total,18822.59314845529
